Transaction ID,Date,Customer ID,Gender,Age,Location,Product Category,Quantity,Price per Unit,Total Amount,Payment Method,Shipping Type,Subscription Status,Promo Code Used,Discount Applied,Previous Purchases,Frequency of Purchases,Churn
428,2/28/2024,CUST178,Male,47,Texas,Footwear,2,351,702,Debit Card,Next Day Air,No,No,No,9,Monthly,No
429,11/13/2024,CUST772,Male,57,Georgia,Electronics,5,105,525,Debit Card,Standard,No,Yes,Yes,48,Daily,Yes
430,6/11/2023,CUST545,Male,52,California,Sports,3,617,1851,Cash,Express,Yes,No,No,34,Bi-Weekly,No
431,10/1/2023,CUST469,Male,36,Georgia,Sports,1,871,871,Google Pay,Free Shipping,Yes,Yes,No,19,Bi-Weekly,Yes
432,6/9/2024,CUST525,Male,44,Texas,Home Decor,3,965,2895,Credit Card,Next Day Air,No,No,No,33,Monthly,No
433,3/6/2025,CUST894,Male,23,Florida,Sports,5,84,420,Venmo,Free Shipping,Yes,No,No,7,Bi-Weekly,Yes
434,5/5/2024,CUST752,Female,30,New York,Sports,5,719,3595,Credit Card,Standard,No,Yes,Yes,2,Bi-Weekly,No
435,8/31/2023,CUST903,Male,37,New York,Beauty,1,191,191,Apple Pay,Standard,No,Yes,No,10,Monthly,Yes
436,1/26/2024,CUST712,Female,54,Ohio,Books,3,655,1965,Credit Card,Free Shipping,Yes,Yes,Yes,6,Daily,No
437,12/20/2023,CUST524,Female,35,North Carolina,Home Decor,4,489,1956,Credit Card,Next Day Air,Yes,No,No,1,Bi-Weekly,Yes
438,5/8/2024,CUST262,Male,54,California,Beauty,2,638,1276,Venmo,Next Day Air,Yes,No,No,33,Monthly,No
439,4/26/2024,CUST175,Female,40,California,Electronics,3,701,2103,PayPal,Express,No,Yes,Yes,25,Bi-Weekly,Yes
440,9/20/2024,CUST685,Female,24,New York,Books,2,847,1694,Venmo,Next Day Air,Yes,No,No,15,Monthly,No
441,1/2/2024,CUST455,Female,37,Michigan,Clothing,4,457,1828,Google Pay,Express,Yes,Yes,No,32,Monthly,Yes
442,4/15/2024,CUST604,Male,25,Texas,Clothing,3,261,783,Credit Card,Free Shipping,Yes,No,No,43,Bi-Weekly,No
443,12/5/2024,CUST335,Female,19,Texas,Footwear,1,73,73,Apple Pay,Next Day Air,No,No,No,32,Quarterly,Yes
444,5/20/2023,CUST950,Male,45,Michigan,Home Decor,2,617,1234,Credit Card,Next Day Air,Yes,Yes,No,21,Quarterly,No
445,9/29/2023,CUST353,Male,45,North Carolina,Electronics,5,863,4315,Debit Card,Standard,Yes,Yes,Yes,30,Weekly,Yes
446,5/17/2023,CUST368,Female,50,New York,Home Decor,4,468,1872,Apple Pay,Next Day Air,Yes,Yes,No,28,Quarterly,No
447,6/1/2024,CUST301,Female,61,North Carolina,Footwear,3,224,672,PayPal,Express,No,No,No,34,Quarterly,Yes
448,12/20/2023,CUST196,Female,56,Florida,Electronics,3,786,2358,Google Pay,Express,No,Yes,Yes,49,Monthly,No
449,10/1/2023,CUST881,Male,62,Florida,Footwear,1,844,844,Debit Card,Express,Yes,Yes,No,10,Quarterly,Yes
450,3/6/2024,CUST167,Male,35,New York,Footwear,3,734,2202,Credit Card,Next Day Air,No,No,No,40,Daily,No
451,1/25/2025,CUST180,Female,40,North Carolina,Sports,1,524,524,Cash,Free Shipping,No,Yes,Yes,28,Bi-Weekly,Yes
452,6/22/2023,CUST153,Male,20,Ohio,Sports,2,407,814,Venmo,Next Day Air,Yes,No,No,25,Daily,No
453,10/2/2023,CUST153,Male,50,Ohio,Sports,2,408,816,Credit Card,Free Shipping,No,No,No,25,Daily,Yes
454,2/4/2025,CUST677,Male,60,Georgia,Books,2,346,692,PayPal,Standard,Yes,No,No,29,Bi-Weekly,No
455,1/4/2025,CUST312,Male,26,Michigan,Beauty,5,540,2700,PayPal,Standard,Yes,No,No,5,Monthly,Yes
456,7/27/2023,CUST399,Male,58,Florida,Sports,2,551,1102,Google Pay,Standard,Yes,Yes,Yes,47,Daily,No
457,3/12/2024,CUST910,Female,25,North Carolina,Home Decor,2,805,1610,Cash,Standard,Yes,Yes,No,20,Quarterly,Yes
458,6/14/2023,CUST499,Male,62,Ohio,Books,4,153,612,Google Pay,Next Day Air,No,Yes,No,16,Daily,No
459,7/5/2023,CUST458,Male,36,Florida,Sports,2,709,1418,Debit Card,Free Shipping,No,No,No,12,Weekly,Yes
460,11/23/2023,CUST421,Male,41,Florida,Footwear,1,381,381,Credit Card,Free Shipping,No,No,No,26,Bi-Weekly,No
461,6/14/2023,CUST397,Male,33,Florida,Sports,1,652,652,Google Pay,Standard,Yes,Yes,Yes,3,Weekly,Yes
462,10/30/2024,CUST418,Male,45,California,Home Decor,1,131,131,PayPal,Free Shipping,Yes,Yes,No,32,Monthly,No
463,9/19/2023,CUST541,Male,26,California,Home Decor,2,839,1678,Debit Card,Express,No,No,No,31,Bi-Weekly,Yes
464,4/23/2023,CUST789,Female,57,California,Beauty,1,186,186,Credit Card,Free Shipping,Yes,No,No,43,Monthly,No
465,3/21/2024,CUST393,Male,24,California,Footwear,2,873,1746,Credit Card,Standard,Yes,No,No,14,Quarterly,Yes
466,3/3/2025,CUST971,Female,43,Georgia,Clothing,3,832,2496,Venmo,Next Day Air,No,No,No,42,Monthly,No
467,11/16/2023,CUST618,Male,57,Florida,Electronics,1,814,814,Apple Pay,Free Shipping,No,No,No,42,Quarterly,Yes
468,6/29/2024,CUST437,Female,25,New York,Electronics,5,987,4935,Credit Card,Free Shipping,Yes,No,No,47,Weekly,No
469,3/28/2023,CUST432,Male,32,Illinois,Footwear,1,984,984,Venmo,Next Day Air,No,No,No,47,Monthly,Yes
470,6/23/2024,CUST857,Male,21,Ohio,Books,1,613,613,Credit Card,Express,Yes,No,No,31,Monthly,No
471,10/28/2023,CUST265,Male,29,California,Footwear,3,775,2325,Google Pay,Free Shipping,Yes,No,No,7,Bi-Weekly,Yes
472,8/20/2023,CUST688,Male,18,Texas,Sports,1,898,898,Cash,Free Shipping,Yes,Yes,Yes,4,Bi-Weekly,No
473,6/14/2023,CUST930,Male,33,New York,Beauty,1,654,654,Apple Pay,Next Day Air,No,No,No,21,Weekly,Yes
474,4/4/2023,CUST412,Male,47,North Carolina,Home Decor,5,590,2950,Venmo,Free Shipping,Yes,Yes,No,29,Quarterly,No
475,7/30/2024,CUST592,Male,50,Texas,Sports,4,364,1456,Cash,Free Shipping,No,No,No,17,Quarterly,Yes
476,10/18/2024,CUST438,Male,31,Illinois,Home Decor,2,696,1392,Credit Card,Next Day Air,Yes,No,No,6,Quarterly,No
477,9/7/2024,CUST448,Female,22,Ohio,Beauty,1,949,949,Google Pay,Standard,Yes,Yes,No,44,Daily,Yes
478,9/20/2024,CUST802,Female,35,Florida,Electronics,2,151,302,Credit Card,Standard,No,Yes,Yes,48,Weekly,No
479,9/7/2024,CUST804,Male,63,Illinois,Electronics,5,907,4535,PayPal,Next Day Air,Yes,No,No,10,Daily,Yes
480,8/18/2023,CUST416,Female,25,New York,Home Decor,4,351,1404,PayPal,Free Shipping,No,No,No,0,Daily,No
481,3/24/2023,CUST488,Female,45,New York,Clothing,3,596,1788,Venmo,Free Shipping,No,No,No,8,Bi-Weekly,Yes
482,2/6/2025,CUST334,Female,64,California,Books,2,395,790,PayPal,Standard,Yes,No,No,34,Daily,No
483,5/5/2023,CUST757,Female,65,Michigan,Home Decor,3,556,1668,PayPal,Express,Yes,No,No,47,Daily,Yes
483,5/5/2023,CUST757,Female,65,Michigan,Home Decor,3,556,1668,PayPal,Express,Yes,No,No,47,Daily,Yes
484,5/15/2024,CUST519,Male,31,Ohio,Footwear,5,176,880,Apple Pay,Standard,No,No,No,7,Monthly,Yes
485,11/1/2023,CUST552,Male,21,Texas,Home Decor,5,889,4445,Cash,Standard,No,No,No,44,Bi-Weekly,No
486,8/24/2024,CUST946,Male,30,Illinois,Clothing,3,383,1149,PayPal,Free Shipping,No,No,No,13,Daily,Yes
487,2/17/2025,CUST499,Female,51,Georgia,Beauty,3,252,756,Google Pay,Express,Yes,No,No,40,Daily,No
488,8/19/2023,CUST688,Male,57,North Carolina,Electronics,3,814,2442,Credit Card,Free Shipping,No,Yes,Yes,7,Quarterly,Yes
489,12/5/2023,CUST568,Male,54,Illinois,Sports,3,963,2889,Credit Card,Standard,Yes,Yes,No,50,Bi-Weekly,No
490,7/3/2023,CUST106,Female,21,California,Sports,4,238,952,Cash,Free Shipping,No,No,No,20,Weekly,Yes
491,2/1/2024,CUST963,Female,47,North Carolina,Beauty,2,412,824,PayPal,Next Day Air,No,Yes,No,3,Bi-Weekly,No
492,8/17/2023,CUST421,Male,23,California,Beauty,1,156,156,Cash,Standard,Yes,No,No,26,Daily,Yes
493,2/12/2025,CUST581,Female,32,Florida,Footwear,3,75,225,Cash,Next Day Air,No,No,No,0,Bi-Weekly,No
494,11/6/2023,CUST666,Female,46,Michigan,Books,3,438,1314,Google Pay,Next Day Air,No,Yes,Yes,17,Daily,Yes
495,8/22/2024,CUST874,Male,54,North Carolina,Electronics,4,178,712,Google Pay,Next Day Air,Yes,Yes,Yes,27,Weekly,No
496,3/9/2025,CUST468,Male,27,California,Home Decor,3,660,1980,PayPal,Free Shipping,No,Yes,No,33,Weekly,Yes
497,12/28/2024,CUST377,Male,60,California,Footwear,5,18,90,Cash,Next Day Air,No,No,No,25,Weekly,No
498,10/26/2023,CUST289,Female,34,Michigan,Footwear,2,350,700,Credit Card,Free Shipping,Yes,No,No,9,Daily,Yes
499,5/24/2024,CUST306,Female,65,Ohio,Electronics,2,950,1900,Debit Card,Standard,No,Yes,No,23,Weekly,No
500,12/6/2024,CUST445,Female,25,New York,Clothing,2,554,1108,Credit Card,Express,Yes,No,No,11,Monthly,Yes
501,2/17/2025,CUST499,Female,51,Georgia,Beauty,3,252,756,Google Pay,Express,Yes,No,No,40,Daily,No
